First name,Last name,Display name,User logon name,Company,City,Department,OU,Service,Groupe,Job Title,Manager - prenom,Manager - nom,managerDN,PC,PC2,Date de naissance,Telephone number,Mobile,Nomadisme
Dmitri,Orlov,Dmitri Orlov,DOrlov,Pharmgreen,Lyon,Ventes et Développement Commercial,SALES,Service achat,Achats,Acheteur,Oliver,Johnson,Oliver Johnson,P0348,SALES348,12/07/1982,0432109876,0665247366,non
Fatima,Zahra,Fatima Zahra,FZahra,Pharmgreen,Lyon,Ventes et Développement Commercial,SALES,Service achat,Achats,Acheteur,Oliver,Johnson,Oliver Johnson,P0363,SALES363,21/06/1978,0445678901,0698997028,non
Luna,García,Luna García,LGarcía,Pharmgreen,Lyon,Ventes et Développement Commercial,SALES,Service achat,Achats,Acheteur,Oliver,Johnson,Oliver Johnson,P0493,SALES493,05/12/1999,0434567890,0740080910,non
Marc,Roussel,Marc Roussel,MRoussel,Pharmgreen,Lyon,Ventes et Développement Commercial,SALES,Service achat,Achats,Acheteur,Oliver,Johnson,Oliver Johnson,P0569,SALES569,20/06/1985,0476543210,0704322288,non
Oliver,Johnson,Oliver Johnson,OJohnson,Pharmgreen,Lyon,Ventes et Développement Commercial,SALES,Service achat,Achats,Responsable achat,Sarah,Durand,Sarah Durand,P0584,SALES584,16/02/1991,0434567890,0733632584,non
Antoine,Lambert,Antoine Lambert,ALambert,Pharmgreen,Lyon,Ventes et Développement Commercial,SALES,ADV,ADV,Gestionnaire ADV,Louis,Laurent,Louis Laurent,P0734,SALES734,17/03/1990,0487654321,0602772816,non
Camille,Fournier,Camille Fournier,CFournier,Pharmgreen,Lyon,Ventes et Développement Commercial,SALES,ADV,ADV,Gestionnaire ADV,Louis,Laurent,Louis Laurent,P0122,SALES122,20/09/1970,0456789012,0705492767,non
Élise,François,Élise François,ÉFrançois,Pharmgreen,Lyon,Ventes et Développement Commercial,SALES,ADV,ADV,Gestionnaire ADV,Louis,Laurent,Louis Laurent,P0428,SALES428,03/03/1995,0487654321,0701519889,non
Juliette,Bonnet,Juliette Bonnet,JBonnet,Pharmgreen,Lyon,Ventes et Développement Commercial,SALES,ADV,ADV,Gestionnaire ADV,Louis,Laurent,Louis Laurent,P0777,SALES777,11/03/1983,0445678901,0768119524,non
Julie,Garcia,Julie Garcia,JGarcia,Pharmgreen,Lyon,Ventes et Développement Commercial,SALES,ADV,ADV,Gestionnaire ADV,Louis,Laurent,Louis Laurent,P0705,SALES705,24/06/1976,0412345678,0686992516,non
